Time,"User full name","Affected user","Event context",Component,"Event name",Description,Origin,"IP address"
"29/05/20, 10:27","C Oordinator",-,"Course: Accounting",Logs,"Log report viewed","The user with id '103' viewed the log report for the course with id '2'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:27","C Oordinator",-,"Course: Accounting",Logs,"Log report viewed","The user with id '103' viewed the log report for the course with id '2'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:27","C Oordinator","Laura Becker","Course: Accounting",Logs,"Log report viewed","The user with id '103' viewed the log report for the course with id '2'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:27","C Oordinator","Hanna Becker","Course: Accounting",Logs,"Log report viewed","The user with id '103' viewed the log report for the course with id '2'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:27","C Oordinator",-,"Course: Accounting",Logs,"Log report viewed","The user with id '103' viewed the log report for the course with id '2'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:25","C Oordinator",-,"Course: Accounting","Live logs","Live log report viewed","The user with id '103' viewed the live log report for the course with id '2'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:25","C Oordinator",-,"Course: Accounting","Activity report","Activity report viewed","The user with id '103' viewed the outline activity report for the course with id '2'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:25","C Oordinator",-,"Course: Accounting",System,"Course viewed","The user with id '103' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:23","Admin User",-,"Course: Accounting",System,"Course viewed","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:23","Admin User","Ava Wilson","Assignment: Assignment 1",Assignment,"Grading form viewed","The user with id '2' viewed the grading form for the user with id '3' for the assignment with course module id '1'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:23","Admin User",-,"Assignment: Assignment 1",Assignment,"Grading table viewed","The user with id '2' viewed the grading table for the assignment with course module id '1'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:23","Admin User",-,"Assignment: Assignment 1",Assignment,"Course module viewed","The user with id '2' viewed the 'assign' activity with course module id '1'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:23","Admin User","Ava Wilson","Course: Accounting",System,"User profile viewed","The user with id '2' viewed the profile for the user with id '3' in the course with id '2'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:23","Admin User",-,"Assignment: Assignment 1",Assignment,"Grading table viewed","The user with id '2' viewed the grading table for the assignment with course module id '1'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:23","Admin User",-,"Assignment: Assignment 1",Assignment,"Course module viewed","The user with id '2' viewed the 'assign' activity with course module id '1'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:23","Admin User",-,"Assignment: Assignment 1",Assignment,"The status of the submission has been viewed.","The user with id '2' has viewed the submission status page for the assignment with course module id '1'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:23","Admin User",-,"Assignment: Assignment 1",Assignment,"Course module viewed","The user with id '2' viewed the 'assign' activity with course module id '1'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:23","Admin User",-,"Course: Accounting",System,"Course viewed","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:22","Admin User","Ava Wilson","Assignment: Assignment 3",Assignment,"Grading form viewed","The user with id '2' viewed the grading form for the user with id '3' for the assignment with course module id '3'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:22","Admin User",-,"Assignment: Assignment 3",Assignment,"Grading table viewed","The user with id '2' viewed the grading table for the assignment with course module id '3'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:22","Admin User",-,"Assignment: Assignment 3",Assignment,"Course module viewed","The user with id '2' viewed the 'assign' activity with course module id '3'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:22","Admin User",-,"Assignment: Assignment 3",Assignment,"Grading table viewed","The user with id '2' viewed the grading table for the assignment with course module id '3'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:22","Admin User",-,"Assignment: Assignment 3",Assignment,"Course module viewed","The user with id '2' viewed the 'assign' activity with course module id '3'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:22","Admin User",-,"Assignment: Assignment 3",Assignment,"The status of the submission has been viewed.","The user with id '2' has viewed the submission status page for the assignment with course module id '3'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:22","Admin User",-,"Assignment: Assignment 3",Assignment,"Course module viewed","The user with id '2' viewed the 'assign' activity with course module id '3'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:22","Admin User",-,"Course: Accounting",System,"Course viewed","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"28/05/20, 16:53","Admin User",-,"Course: Accounting",System,"Course viewed","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:55","Admin User",-,"Course: Accounting",System,"User list viewed","The user with id '2' viewed the list of users in the course with id '2'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:55","Admin User",-,"Course: Accounting",System,"User list viewed","The user with id '2' viewed the list of users in the course with id '2'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:54","Admin User",-,"Course: Accounting",System,"User list viewed","The user with id '2' viewed the list of users in the course with id '2'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:35","Admin User",-,"Course: Accounting",System,"Course viewed","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:32","Admin User",-,"Course: Accounting",System,"User list viewed","The user with id '2' viewed the list of users in the course with id '2'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:32","Admin User","C Oordinator","Course: Accounting",System,"Role assigned","The user with id '2' assigned the role with id '3' to the user with id '103'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:32","Admin User","C Oordinator","Course: Accounting",System,"User enrolled in course","The user with id '2' enrolled the user with id '103' using the enrolment method 'manual' in the course with id '2'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:31","Admin User",-,"Course: Accounting",System,"User list viewed","The user with id '2' viewed the list of users in the course with id '2'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:28","Admin User",-,"Course: Accounting",System,"Course viewed","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
